Time,Humidity,T in C,T in F,mS1,mS2,mS3,mS4,mS5,mS6,mS7,mS8,mS9,mS10,mS11,mS12,mS13,mS14,mS15,mS16
Thu Mar 15 18:03:22 2018,49.1,22.9,73.22,793,762,896,893,883,879,889,862,888,890,896,888,934,903,894,891
Thu Mar 15 18:04:37 2018,49.1,22.9,73.22,793,764,896,893,883,879,889,861,888,890,896,888,934,903,894,890
Thu Mar 15 18:05:37 2018,49.2,22.9,73.22,793,763,896,892,883,879,889,862,888,890,896,888,934,903,894,891
Thu Mar 15 18:06:37 2018,49.2,22.9,73.22,793,763,896,893,883,879,889,862,888,891,896,888,934,902,894,890
Thu Mar 15 18:07:37 2018,49.2,22.9,73.22,795,763,896,892,883,879,889,862,888,890,896,888,934,903,894,891
Thu Mar 15 18:08:37 2018,49.1,22.9,73.22,793,763,896,893,883,879,889,862,888,891,896,888,934,903,894,891
Thu Mar 15 18:09:37 2018,49.1,22.9,73.22,793,763,897,892,883,879,889,862,888,890,896,888,934,903,894,891
Thu Mar 15 18:10:37 2018,49.1,22.9,73.22,793,764,896,892,884,879,888,862,888,890,896,888,934,902,894,891
Thu Mar 15 18:11:38 2018,49,22.9,73.22,793,763,896,893,883,879,889,862,888,890,896,888,934,903,894,891
Thu Mar 15 18:12:38 2018,49,22.9,73.22,793,763,896,892,883,879,889,862,888,890,896,888,933,903,894,891
Thu Mar 15 18:13:38 2018,48.9,22.9,73.22,793,763,896,893,883,880,889,862,888,891,896,888,934,902,894,891
Thu Mar 15 18:14:38 2018,49,22.9,73.22,793,764,896,893,883,879,889,862,888,890,896,888,934,903,894,893
Thu Mar 15 18:15:38 2018,49,22.9,73.22,793,763,896,893,883,880,889,862,888,890,896,888,934,902,894,891
Thu Mar 15 18:16:38 2018,49,22.9,73.22,793,764,896,893,883,879,889,862,888,890,897,888,934,902,894,891
Thu Mar 15 18:17:38 2018,49.1,22.9,73.22,793,763,896,893,883,880,889,861,888,891,896,888,934,902,894,891
Thu Mar 15 18:18:38 2018,49.1,22.9,73.22,792,763,896,892,883,880,889,862,888,890,896,888,934,903,894,891
Thu Mar 15 18:19:38 2018,49.1,22.9,73.22,793,764,896,893,883,879,889,861,888,890,896,888,934,903,894,891
Thu Mar 15 18:20:38 2018,49.1,22.9,73.22,793,763,895,893,884,880,889,861,888,890,896,888,934,903,894,891
Thu Mar 15 18:21:38 2018,49.1,22.9,73.22,793,763,896,893,884,879,889,861,888,890,896,888,934,903,894,890
Thu Mar 15 18:22:38 2018,49.2,22.9,73.22,793,763,896,893,884,880,889,861,888,890,897,888,934,902,894,891
Thu Mar 15 18:23:38 2018,49.2,22.9,73.22,793,763,896,893,884,880,888,861,888,890,897,888,934,904,894,891
Thu Mar 15 18:24:38 2018,49.2,22.9,73.22,793,763,896,892,884,879,888,861,888,890,897,888,934,903,894,891
Thu Mar 15 18:25:38 2018,49.2,22.9,73.22,793,763,896,892,884,879,889,861,888,890,896,888,934,903,894,891
Thu Mar 15 18:26:38 2018,49.1,22.9,73.22,793,763,896,892,884,880,889,862,888,890,896,888,934,903,894,891
Thu Mar 15 18:27:38 2018,49,22.9,73.22,794,763,896,892,884,879,889,861,888,890,897,888,934,903,894,891
Thu Mar 15 18:28:38 2018,49,22.9,73.22,793,764,896,893,884,879,889,861,888,890,896,889,934,903,894,891
Thu Mar 15 18:29:38 2018,49,22.9,73.22,793,764,896,892,884,879,888,860,888,890,897,888,934,903,894,891
Thu Mar 15 18:30:38 2018,49,22.9,73.22,793,764,896,892,885,879,889,861,888,890,896,888,933,903,894,891
Thu Mar 15 18:31:39 2018,49,22.9,73.22,793,764,896,892,884,879,889,861,888,890,896,888,934,903,894,891
Thu Mar 15 18:32:39 2018,49,22.9,73.22,793,764,896,893,885,879,889,861,888,890,896,888,934,903,894,890
Thu Mar 15 18:33:39 2018,49,22.9,73.22,793,764,896,892,885,879,888,861,888,890,897,888,934,903,894,891
Thu Mar 15 18:34:39 2018,49.1,22.9,73.22,793,763,896,893,885,879,889,861,887,890,896,888,934,903,894,891
Thu Mar 15 18:35:39 2018,49.1,22.9,73.22,793,764,896,893,885,879,889,861,888,890,896,888,934,903,894,891
Thu Mar 15 18:36:39 2018,49.2,22.9,73.22,793,763,896,893,885,879,889,861,888,890,896,888,934,903,894,891
Thu Mar 15 18:37:39 2018,49.2,22.9,73.22,793,763,896,892,885,879,889,861,888,890,897,888,934,903,894,891
Thu Mar 15 18:38:39 2018,49.2,22.9,73.22,793,764,896,893,885,879,889,861,888,890,896,888,934,903,894,891
Thu Mar 15 18:39:39 2018,49.2,22.9,73.22,793,763,896,893,885,879,889,861,888,890,896,888,934,903,894,890
Thu Mar 15 18:40:39 2018,49.2,22.9,73.22,793,763,896,893,886,879,889,861,888,890,897,888,934,903,894,891
Thu Mar 15 18:41:39 2018,49.2,22.9,73.22,792,764,896,893,885,879,889,860,888,890,896,888,934,903,894,891
Thu Mar 15 18:42:39 2018,49.2,22.9,73.22,793,763,896,892,886,878,889,861,888,890,896,888,934,903,894,891
Thu Mar 15 18:43:39 2018,49.1,22.9,73.22,793,764,896,893,885,879,889,861,888,890,896,888,934,903,894,891
Thu Mar 15 18:44:39 2018,49.1,22.9,73.22,793,764,896,893,886,879,889,861,887,891,896,888,934,903,894,891
Thu Mar 15 18:45:39 2018,49.1,22.9,73.22,793,764,896,892,886,879,889,859,888,890,896,888,934,903,894,890
